Location,Hospital_Name,State,District,Pincode,Latitude,Longitude
"12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211
"15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,Andhra Pradesh,Anantapur,515001,14.6805847,77.6000775
"Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,Andhra Pradesh,Anantapur,515001,13.9860276,77.7658783
"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
"10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,515001,13.6340453,79.4157431
Anantapur,Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
"Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,515001,14.9093514,78.0060388
"12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,Andhra Pradesh,Anantapur,515001,14.6755437,77.6036802
"12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,Andhra Pradesh,Anantapur,515001,14.6755437,77.6036802
"D. No.14/224, Kamala Nagar",Varun Children's Hospital,Andhra Pradesh,Anantapur,515001,19.0627033,72.9297396
"7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
"Navodaya Colony, Anantpur",Vijaya Nursing Home,Andhra Pradesh,Anantapur,515001,14.6607456,77.6085681
"12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,Andhra Pradesh,Anantapur,515004,13.0433764,80.1622367
"28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,515005,14.6735546,77.6081894
"M.F. Road,.",Balaji Nursing Home,Andhra Pradesh,Anantapur,515201,14.6818877,77.6005911
"Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur,515201,14.6818877,77.6005911
"18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,515201,14.178135,77.2728241
"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,Andhra Pradesh,Anantapur,515201,13.8358978,77.5046101
Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,515201,13.8185378,77.4988753
R.P and G.T Road Hindupur--515201,Teja Nursing Home,Andhra Pradesh,Anantapur,515201,13.8371751,77.4878898
"1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,515411,14.910003,78.0005407
"C.B Road, Tadpatri",Sri Kanchani Hospital,Andhra Pradesh,Anantapur,515411,14.9070274,78.0092703
"Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,Andhra Pradesh,Anantapur,515671,14.4137447,77.7126189
"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,Andhra Pradesh,Anantapur,515671,14.4068919,77.7125679
"Thilak Nagar, Guntakal",Preethi Nursing Home,Andhra Pradesh,Anantapur,515801,15.1622611,77.3826845
"No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289
"No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289
"D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,Andhra Pradesh,Chittoor,517001,28.6481837,77.3709431
"2-1250, Officers Lane,.",S.M.Clinic,Andhra Pradesh,Chittoor,517001,39.5988355,-77.932359
"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289
"2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,Andhra Pradesh,Chittoor,517001,13.65,78.933333
Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,Andhra Pradesh,Chittoor,517247,13.36592,78.5750141
Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,Andhra Pradesh,Chittoor,517247,13.36592,78.5750141
"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,517325,13.5508703,78.50597
Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,Andhra Pradesh,Chittoor,517325,13.5508703,78.50597
14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
"No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,517325,14.4656511,78.8330438
"Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,Andhra Pradesh,Chittoor,517325,18.4328566,79.1303578
",C.T.M.Road.",Gupta Nursing Home,Andhra Pradesh,Chittoor,517325,13.217176,79.1003289
"15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,Andhra Pradesh,Chittoor,517325,13.5529488,78.5086376
",C.T.M.Road.",Leo Hospital,Andhra Pradesh,Chittoor,517325,13.217176,79.1003289
"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,Andhra Pradesh,Chittoor,517325,13.5657237,78.5066868
"C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,517325,13.553374,78.5065719
"Gandhi Road,Gandhi Road.",Popular Nursing Home,Andhra Pradesh,Chittoor,517325,30.3145962,78.0357476
"Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,Andhra Pradesh,Chittoor,517325,13.553374,78.5065719
"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor,517325,14.6818877,77.6005911
"Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
"D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065
"Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,517425,12.7279579,78.3512397
"Palace Road, Kuppam",Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,517425,12.7510218,78.340196
"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,Andhra Pradesh,Chittoor,517425,12.7470314,78.3330157
"D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,517501,13.6403071,79.4176391
"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,517501,13.6320156,79.4260025
Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289
"413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,517501,13.6344095,79.425573
"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,517501,13.6338436,79.4210045
"398A, Doddapuram Street, Tirupati",Clinic Nisha,Andhra Pradesh,Chittoor,517501,13.6338782,79.4195997
"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6244611,79.4310052
Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,Andhra Pradesh,Chittoor,517501,13.6781837,79.352188
"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"548, R.R. Colony,Tirupati-",Manohari Nursing Home,Andhra Pradesh,Chittoor,517501,13.6302513,79.4118237
"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289
"18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,517501,13.6390013,79.4272041
"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,Andhra Pradesh,Chittoor,517501,13.6338436,79.4210045
"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor,517501,13.6244611,79.4310052
"535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,Andhra Pradesh,Chittoor,517501,13.6365271,79.4127143
"576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,Andhra Pradesh,Chittoor,517501,13.6368739,79.4144319
"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,517501,13.6157076,79.4125828
"10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,517501,23.0866456,72.5630236
T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6388217,79.4204627
"521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
Tirupathi,Sri Suraksha Hospital,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289
"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289
Tirupati,Sri Venkateshwara Institute Of Medical Sciences,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,Andhra Pradesh,Chittoor,517501,26.896961,75.792554
"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"326,Nethaji Road,Tirupathi",Sviss Hospital,Andhra Pradesh,Chittoor,517501,13.6095995,79.4489169
"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795
"525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532
"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,Andhra Pradesh,Chittoor,517501,13.6358027,79.420805
"6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,Andhra Pradesh,Chittoor,517501,13.639101,79.4177213
"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,Andhra Pradesh,Chittoor,517502,13.6335087,79.4170539
13-7-936/6 Tuda Road,Maha Hospitals,Andhra Pradesh,Chittoor,517502,13.217176,79.1003289
"502,B, 1St Floor, Opp Sbi Kt Road",Vennela Super Speciality Eye and Dental Hospital,Andhra Pradesh,Chittoor,517502,28.6779455,77.3103012
"K. T. Road, Tirupati",Manasa Kidney Foundation,Andhra Pradesh,Chittoor,517507,13.6452591,79.419089
"V.V.Mahal Road, Tirupathi",Rushh Hospital,Andhra Pradesh,Chittoor,517507,13.6370231,79.4206271
"6-1-12A, Beside Old Maternity Hospital, Tirupati",Swarna E.N.T Super Speciality Hosptial,Andhra Pradesh,Chittoor,517507,13.6287557,79.4191795
"91,Old M.H.Road,1/1,Tirupathi,Chittoor",Swarnamurtha Hospital,Andhra Pradesh,Chittoor,517507,13.633255,79.4552064
"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Sri Sai Nursing Home,Andhra Pradesh,Chittoor,517583,12.7686756,75.2070644
"Nagari-517590, Chittoor",C.S.I. Hospital,Andhra Pradesh,Chittoor,517590,13.3200519,79.585628
"Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chaitanya Childrens Hospital,Andhra Pradesh,Chittoor,517644,13.7392101,79.7119419
"7-723,,Kothapet.",Eswari Nursing Home,Andhra Pradesh,Chittoor,517644,13.217176,79.1003289
",Kothapet.",Sai Kanthi Eye Hospital,Andhra Pradesh,Chittoor,517644,13.217176,79.1003289
"V R Temple Street, Nehru Road,",Vani Priya Hospital,Andhra Pradesh,Chittoor,517644,22.5657131,88.3557301
"6/1565, Sankara Puram Kadapa",Balaji Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.480391,78.8340173
3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516001,17.6651796,75.8970483
"3/224, Upendra Complex,",K.C.M. Hospital,Andhra Pradesh,Y.S.R.,516001,19.0266349,72.8594614
21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Palla Krishnaiah Memorial And Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701
3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Sri Krishna Sahithi Eye Hospital,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701
"Madras Road, Kadapa",Srija Rainbow Childrens Hospital,Andhra Pradesh,Y.S.R.,516001,14.4783864,78.8252721
"17/48, Kapu Street, Jammalamadugu",Tata Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.686981,78.3909238
3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Vurimi Savitramma Cardiac Centre,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701
"6/1414, Sankarapuram",Dr G R K R Multi Speciality Hospitals,Andhra Pradesh,Y.S.R.,516002,14.480391,78.8340173
"D.No.3/221,Christian Lane,Near 7 Roads.",Remedy Hospital,Andhra Pradesh,Y.S.R.,516002,18.000695,-76.8938358
"6-880, Madras Road Sankarapuram",Sri Satya Sai Hospital,Andhra Pradesh,Y.S.R.,516002,13.0311046,80.2720822
"1/706 - 3, Dwarakanagar",Usha Rani Nursing Home,Andhra Pradesh,Y.S.R.,516004,17.7266953,83.3054733
"10/596 M. G. Road Rly. Kodur, Kadapa",Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516101,13.9518505,79.3492863
Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Sree Durgaa Nursing Home,Andhra Pradesh,Y.S.R.,516115,14.1965314,79.1563718
"6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Sri Sai Nursing Home,Andhra Pradesh,Y.S.R.,516115,14.2050808,79.1549173
"Harinatha Street, Rayachoty,  Kadapa.",Madhavi Nursing Home,Andhra Pradesh,Y.S.R.,516269,14.0585458,78.7518863
"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Abhilash Netra Vidyasala,Andhra Pradesh,Y.S.R.,516360,14.7491864,78.5531577
"Gandhi Road, Proddatur (P.O.), . Kadapa",B. G. R. Hospital,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809
"Near Gabdhi Statue, Gandhi Road, Proddatur",Bhavya Nursing Home,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809
Gandhi Road Proddutur Proddatur 516360  Kadapa,Cnr Nursing Home,Andhra Pradesh,Y.S.R.,516360,14.7491864,78.5531577
"3 / 1467, Holmespet Proddatur",Kalyana Chakravarthy Hospitals - Proddatur,Andhra Pradesh,Y.S.R.,516360,14.7528736,78.5514834
"8/399, Swayam Sevak Road, Proddatur",Kathya Nursing Home,Andhra Pradesh,Y.S.R.,516360,14.7512835,78.5497493
"No. 5/1895, Gandhi Road,Geetha Ashram Street,",Lakshmi Kishore Hospital,Andhra Pradesh,Y.S.R.,516360,26.1781993,91.773379
"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Orthopaedic And Maternity Hospital,Andhra Pradesh,Y.S.R.,516360,14.7491864,78.5531577
"8/700, OppositePosina Compound, Gandhi Road,Proddatur",Shree Veja Nursing Home,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809
"4/626,Gandhi Road,Proddatur",Siva Nursing Home,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809
"T. B. Road, t. Kaddapa",Swarup Eye Hospital and Laser Center,Andhra Pradesh,Y.S.R.,516360,14.7600159,78.5393058
Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur 516360  Kadapa,Vaatsalya Hospital,Andhra Pradesh,Y.S.R.,516360,14.7491864,78.5531577
"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Vijaya Eye Hospital,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809
Holmespet Proddatur Kadapa,Nikhil Nursing Home,Andhra Pradesh,Y.S.R.,516434,14.7528736,78.5514834
"17-48, Kapu Street, Jammalamadugu Kadapa Andra Pradesh",Sree Tati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434,14.686981,78.3909238
"17/48, Kapu Street Jammalamadugu Kadapa 516434 : Kadapa",Sri Thati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434,14.6857186,78.3909785
"M D O Office Road, Jammalamadugu,Kadapa",Venkata Sai Baradwaja Hospital,Andhra Pradesh,Y.S.R.,516434,14.8474197,78.3899108
"20-1-61, Opposite L. I. C. Building, Main Road",7 Star Superspeciality Hospital,Andhra Pradesh,East Godavari,533001,32.458567,74.5000465
"13-1-3, Main Road, Kakinada",Apollo Samudra Hospitals,Andhra Pradesh,East Godavari,533001,17.0769388,82.1385327
Kakinada,Bharani Hospital,Andhra Pradesh,East Godavari,533001,16.9890648,82.2474648
"Near Ii Town Police Station,Main Road.",Care Emergency Hospital,Andhra Pradesh,East Godavari,533001,29.5160925,74.5877445
Kakinada,Christian Cancer Center,Andhra Pradesh,East Godavari,533001,16.9837142,82.2404611
"P R College Road, Opp Govt Hospitals P R College Road Kakinada 533001  East Godavari",Haritha Hospitals,Andhra Pradesh,East Godavari,533001,16.9482342,82.2528975
Kakinada,Kakinada Nursing Home,Andhra Pradesh,East Godavari,533001,16.9890648,82.2474648
"13-1-13, Main Road, Kakinada",Life Line Emergency Hospital,Andhra Pradesh,East Godavari,533001,17.0769388,82.1385327
11-11-3/1 Prabhakara Street Ramaraopeta Kakinada 533001  East Godavari,Raghava 24 Hrs Emergency Hospital,Andhra Pradesh,East Godavari,533001,16.9640729,82.2329395
"21-1-24,Jawahar Street,Shalypet, Kakinada : 533001",Sai Sudha Hospital,Andhra Pradesh,East Godavari,533001,16.9482342,82.2528975
"Dno:21-1-29, Jawahar St, Kakinada",Shravani Ent Hospital,Andhra Pradesh,East Godavari,533001,16.9558071,82.2330899
"34-1-20, Temple Street, rict East Godawari, Kakinada,",Siddhartha Hospital,Andhra Pradesh,East Godavari,533001,16.954694,82.2327304
"Nageswara Rao Street,Ramrao Pet,Kakinada",Sri Gowthami Nursing Home,Andhra Pradesh,East Godavari,533001,16.9890648,82.2474648
"Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari",Sri Lalitha Hospitals Institute Of Lap Surgery And Training,Andhra Pradesh,East Godavari,533001,16.9510095,82.2365598
"7-3-15 Prakash St, Ramarao Peta, Kakinada",Sri Srinivasa Orthopaedic Centre and Nursing Home,Andhra Pradesh,East Godavari,533001,16.9890648,82.2474648
Rajahmundry,Srihitha Children Hospital,Andhra Pradesh,East Godavari,533001,17.0005383,81.8040345
Jawahar Street Kakinada Kakinada 533001  East Godavari,Vijaya Nursing Home,Andhra Pradesh,East Godavari,533001,16.9639769,82.2236918
Rajahmundry,Vishwanadha Eye and Maternity Hospital,Andhra Pradesh,East Godavari,533001,17.0005383,81.8040345
"Endowments Colony, 100 Building Centre Srinagar",Bhanu Nursing Home and Eye Hospital,Andhra Pradesh,East Godavari,533003,34.1255413,74.9442585
"2-4-10 Near Suruchi Sweet Stall, Behind Padmapriva Theatre, Bhanugudi Junction, Kakinada",Mother and Child Hospital,Andhra Pradesh,East Godavari,533003,16.9754085,82.2352397
"2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari",Nayana Eye Care,Andhra Pradesh,East Godavari,533003,16.9695602,82.2388249
"Ganjamvari Street, Kakinada",Ramalingeswara Nursing Home,Andhra Pradesh,East Godavari,533003,16.9506495,82.2333585
"Lig No.6,100 Building Complex Road, Kakinada",Saipriya Maternity Hospital,Andhra Pradesh,East Godavari,533003,16.9890648,82.2474648
"11-5-9, Gopalakrishna Street,Ramaraopeta, Kakinada",Kasturi Nursing Home,Andhra Pradesh,East Godavari,533004,16.9890648,82.2474648
"Gandhi Nagar, Gandhi Nagar",Poly Clinic and Hospital,Andhra Pradesh,East Godavari,533004,12.6670587,79.2782323
"11-5-10, Gopala Krishna Street, Ramaraopet,Kakinada",Ravichandra Hospital,Andhra Pradesh,East Godavari,533004,16.9890648,82.2474648
: 11-11-1 Ramaraopet Kakinada 533004  East Godavari,Sanjivi Orthopaedic Hospital,Andhra Pradesh,East Godavari,533004,16.9663046,82.2270885
"8-5-19/1, Ontimamidi Junction, Gandhinagar, Kakinada",Sri Sai Raghavendra Super Specialities Hospital,Andhra Pradesh,East Godavari,533004,16.9890648,82.2474648
"10-7-39, Kopellavari Street Ramaraopet(Near Duper Bazar),Kakinada",Sri Venkata Chalapathi Nursing Home,Andhra Pradesh,East Godavari,533004,16.9890648,82.2474648
Venugopal Nursing Home Kamalendera Nath Street Narasanana Nagar Kakinada,Sri Venugopal Hospital,Andhra Pradesh,East Godavari,533004,16.9890648,82.2474648
"10-5-8, Nageswara Rao Street, Rama Rao Pet 2Nd Junction Kakinada 533004  East Godavari",Sudha Urology And Andrology Hospital,Andhra Pradesh,East Godavari,533004,16.9663046,82.2270885
"10-5-27/1, Nageswara Rao Street, Ramaraopeta Kakinada 533004  East Godavari",Surya Global Hospitals,Andhra Pradesh,East Godavari,533004,16.9607952,82.2282795
"6-1-37/Nookalamma Temple Street, Suryaraopet, Kakinada 533004  East Godavari",Vasan Eye Care Hospital,Andhra Pradesh,East Godavari,533004,16.9663046,82.2270885
"Near Atchampeta Junction, Penumarthi Road, A.P.S.P Camp Post, Kakinada,",Srikiran Institute Of Ophthalmology,Andhra Pradesh,East Godavari,533005,16.9890648,82.2474648
